,p_nom,carrier,bus
DE0 21 biomass,5.356,biomass,DE0 21
DE0 22 biomass,110.35384,biomass,DE0 22
DE0 23 biomass,32.6815,biomass,DE0 23
DE0 24 biomass,70.4627,biomass,DE0 24
DE0 25 biomass,25.721999999999998,biomass,DE0 25
DE0 26 biomass,87.02026000000001,biomass,DE0 26
DE0 27 biomass,13.605,biomass,DE0 27
DE0 28 biomass,61.737,biomass,DE0 28
DE0 29 biomass,24.0782,biomass,DE0 29
DE0 3 biomass,26.8433,biomass,DE0 3
DE0 30 biomass,151.5293,biomass,DE0 30
DE0 31 biomass,49.86627,biomass,DE0 31
DE0 32 biomass,109.888,biomass,DE0 32
DE0 33 biomass,16.0578,biomass,DE0 33
DE0 34 biomass,64.39346,biomass,DE0 34
DE0 35 biomass,92.5755,biomass,DE0 35
DE0 36 biomass,36.323299999999996,biomass,DE0 36
DE0 37 biomass,66.73872,biomass,DE0 37
DE0 38 biomass,33.226,biomass,DE0 38
DE0 39 biomass,41.3025,biomass,DE0 39
DE0 4 biomass,85.6871,biomass,DE0 4
DE0 40 biomass,48.4994,biomass,DE0 40
DE0 41 biomass,89.7056,biomass,DE0 41
DE0 42 biomass,65.757,biomass,DE0 42
DE0 43 biomass,70.44206,biomass,DE0 43
DE0 44 biomass,383.10880000000003,biomass,DE0 44
DE0 45 biomass,55.743,biomass,DE0 45
DE0 46 biomass,32.8529,biomass,DE0 46
DE0 47 biomass,40.596000000000004,biomass,DE0 47
DE0 48 biomass,36.1051,biomass,DE0 48
DE0 49 biomass,49.393899999999995,biomass,DE0 49
DE0 5 biomass,70.3,biomass,DE0 5
DE0 50 biomass,14.063699999999999,biomass,DE0 50
DE0 51 biomass,162.28300000000002,biomass,DE0 51
DE0 52 biomass,19.9595,biomass,DE0 52
DE0 53 biomass,177.26265,biomass,DE0 53
DE0 54 biomass,94.8285,biomass,DE0 54
DE0 55 biomass,57.9653,biomass,DE0 55
DE0 56 biomass,253.3224,biomass,DE0 56
DE0 57 biomass,50.0638,biomass,DE0 57
DE0 58 biomass,81.29400000000001,biomass,DE0 58
DE0 6 biomass,25.1275,biomass,DE0 6
DE0 60 biomass,173.14646,biomass,DE0 60
DE0 61 biomass,41.007,biomass,DE0 61
DE0 62 biomass,56.234899999999996,biomass,DE0 62
DE0 63 biomass,26.2942,biomass,DE0 63
DE0 64 biomass,32.155,biomass,DE0 64
DE0 65 biomass,68.6454,biomass,DE0 65
DE0 66 biomass,46.7235,biomass,DE0 66
DE0 68 biomass,70.36,biomass,DE0 68
DE0 69 biomass,18.755300000000002,biomass,DE0 69
DE0 7 biomass,19.718799999999998,biomass,DE0 7
DE0 70 biomass,42.1171,biomass,DE0 70
DE0 71 biomass,29.2561,biomass,DE0 71
DE0 72 biomass,91.626,biomass,DE0 72
DE0 73 biomass,109.55499999999999,biomass,DE0 73
DE0 74 biomass,7.369,biomass,DE0 74
DE0 75 biomass,20.8355,biomass,DE0 75
DE0 76 biomass,98.0251,biomass,DE0 76
DE0 77 biomass,61.772,biomass,DE0 77
DE0 78 biomass,44.0498,biomass,DE0 78
DE0 79 biomass,10.1939,biomass,DE0 79
DE0 8 biomass,59.4112,biomass,DE0 8
DE0 80 biomass,125.0469,biomass,DE0 80
DE0 81 biomass,80.838,biomass,DE0 81
DE0 82 biomass,46.5703,biomass,DE0 82
DE0 83 biomass,68.4102,biomass,DE0 83
DE0 84 biomass,32.402,biomass,DE0 84
DE0 85 biomass,25.0233,biomass,DE0 85
DE0 86 biomass,92.31020000000001,biomass,DE0 86
DE0 87 biomass,26.2517,biomass,DE0 87
DE0 88 biomass,105.662,biomass,DE0 88
DE0 89 biomass,87.08766,biomass,DE0 89
DE0 9 biomass,88.96900000000001,biomass,DE0 9
DE0 90 biomass,53.51735,biomass,DE0 90
DE0 91 biomass,14.8325,biomass,DE0 91
DE0 92 biomass,44.0815,biomass,DE0 92
DE0 93 biomass,3.1149999999999998,biomass,DE0 93
DE0 94 biomass,31.7608,biomass,DE0 94
DE0 95 biomass,7.526,biomass,DE0 95
DE0 96 biomass,8.566,biomass,DE0 96
DE0 97 biomass,23.0757,biomass,DE0 97
DE0 98 biomass,91.1005,biomass,DE0 98
DE0 99 biomass,58.7813,biomass,DE0 99
