,carrier,p_nom,bus
DE0 118 OCGT,OCGT,14.355025122,DE0 118
DE0 121 OCGT,OCGT,119.62520935,DE0 121
DE0 123 OCGT,OCGT,318.58082069,DE0 123
DE0 126 OCGT,OCGT,1505.011054896,DE0 126
DE0 14 OCGT,OCGT,16.999371855,DE0 14
DE0 15 OCGT,OCGT,85.500544367,DE0 15
DE0 17 OCGT,OCGT,227.149011143756,DE0 17
DE0 18 OCGT,OCGT,272.115870953,DE0 18
DE0 19 OCGT,OCGT,145.816834134,DE0 19
DE0 20 OCGT,OCGT,503.685092,DE0 20
DE0 25 OCGT,OCGT,85.374623094,DE0 25
DE0 27 OCGT,OCGT,119.62520935,DE0 27
DE0 29 OCGT,OCGT,80.96737853900001,DE0 29
DE0 31 OCGT,OCGT,30.221105520000002,DE0 31
DE0 32 OCGT,OCGT,73.7646817234,DE0 32
DE0 33 OCGT,OCGT,24.554648235,DE0 33
DE0 34 OCGT,OCGT,31.48031825,DE0 34
DE0 35 OCGT,OCGT,83.10804018,DE0 35
DE0 36 OCGT,OCGT,48.731532651,DE0 36
DE0 38 OCGT,OCGT,918.973450354,DE0 38
DE0 39 OCGT,OCGT,15.866080398,DE0 39
DE0 4 OCGT,OCGT,38.657830811,DE0 4
DE0 41 OCGT,OCGT,16.117922944,DE0 41
DE0 43 OCGT,OCGT,85.878308186,DE0 43
DE0 44 OCGT,OCGT,27.073073695,DE0 44
DE0 46 OCGT,OCGT,261.538484021,DE0 46
DE0 47 OCGT,OCGT,58.679313218,DE0 47
DE0 49 OCGT,OCGT,71.77512561,DE0 49
DE0 51 OCGT,OCGT,14.355025122,DE0 51
DE0 55 OCGT,OCGT,22.791750413000003,DE0 55
DE0 56 OCGT,OCGT,27.70268006,DE0 56
DE0 57 OCGT,OCGT,90.66331656,DE0 57
DE0 59 OCGT,OCGT,23.673199324,DE0 59
DE0 60 OCGT,OCGT,141.283668306,DE0 60
DE0 66 OCGT,OCGT,13.095812392,DE0 66
DE0 69 OCGT,OCGT,16.873450582,DE0 69
DE0 7 OCGT,OCGT,37.7763819,DE0 7
DE0 75 OCGT,OCGT,14.606867668,DE0 75
DE0 78 OCGT,OCGT,13.85134003,DE0 78
DE0 79 OCGT,OCGT,76.308291438,DE0 79
DE0 80 OCGT,OCGT,404.20728633,DE0 80
DE0 83 OCGT,OCGT,122.521398629,DE0 83
DE0 89 OCGT,OCGT,176.2897822,DE0 89
DE0 9 OCGT,OCGT,416.92533490299996,DE0 9
DE0 92 OCGT,OCGT,38.657830811,DE0 92
DE0 95 OCGT,OCGT,16.999371855,DE0 95
DE0 97 OCGT,OCGT,181.32663312,DE0 97
DE0 99 OCGT,OCGT,50.3685092,DE0 99
