id,name,carrier,technology,component,country,p_nom,max_hours,volume_mm3,damheight_m,yearcommissioned,retrofit,lat,lon,projectid,yeardecommissioning,bus
1053,Sandreuth,CCGT,CCGT,CHP,DE,150.0,0.0,0.0,0.0,2005,2005.0,49.438611,11.060556,"{'OPSD': ['BNA0743', 'BNA0742'], 'ENTSOE': ['11WD2SRKW000345J'], 'CARMA': ['CARMA39433']}",2045,4765
1054,Römerbrücke,coal,OCGT,CHP,DE,50.0,0.0,0.0,0.0,1989,2005.0,49.223898999999996,7.0148990000000015,"{'OPSD': ['BNA0861b'], 'ENTSOE': ['11WD7UCHT5XROSOK'], 'CARMA': ['CARMA37892']}",2050,4608
1289,Brunsbüttel,oil,OCGT,PP,DE,256.0,0.0,0.0,0.0,1982,1982.0,53.8988902,9.133885300000001,"{'ENTSOE': ['11WD8BRUN1O----D'], 'GEO': ['GEO44334'], 'CARMA': ['CARMA6003']}",2022,5664
1321,Hamm uentrop,CCGT,CCGT,PP,DE,850.0,0.0,0.0,0.0,1994,1994.0,51.68807959999999,7.9464763,"{'ENTSOE': ['11WD7STUM----KW9'], 'GEO': ['GEO44312'], 'CARMA': ['CARMA16719', 'CARMA16720']}",2034,4644
1331,Kraftwerk lausward,OCGT,OCGT,PP,DE,1145.0,0.0,0.0,0.0,1994,1994.0,51.2216873,6.7316442,"{'ENTSOE': ['11WD7NORF5G--KWG'], 'GEO': ['GEO44480'], 'CARMA': ['CARMA24650']}",2034,4633
1422,Schwammenauel,hydro,Run-Of-River,Store,DE,14.0,0.0,0.0,0.0,1938,1938.0,50.628507,6.479111,"{'JRC': ['H1579'], 'OPSD': ['BNA1152'], 'CARMA': ['CARMA40220']}",2038,4627
1428,Scheuring,hydro,Run-Of-River,Store,DE,12.2,0.0,0.0,0.0,1980,1980.0,48.180229,10.8833102,"{'JRC': ['H1653'], 'OPSD': ['BNA1246'], 'CARMA': ['CARMA40095']}",2080,3499
1458,Serrig,hydro,Run-Of-River,Store,DE,12.1,0.0,0.0,0.0,1985,1985.0,49.566953999999896,6.592347999999991,"{'JRC': ['H1656'], 'OPSD': ['BNA1143'], 'CARMA': ['CARMA40666']}",2085,4599
1481,Rain,hydro,Run-Of-River,Store,DE,10.9,0.0,0.0,0.0,1956,1956.0,48.692383,10.897786,"{'JRC': ['H1721'], 'OPSD': ['BNA1235'], 'CARMA': ['CARMA36460']}",2056,3501
1488,Saeckingen,hydro,Pumped Storage,Store,DE,598.5999999999998,3.1172736384898085,2.1,400.0,1966,1966.0,47.5590842,7.955882150000001,"{'JRC': ['H292', 'H91', 'H2492'], 'OPSD': ['BNA0045', 'BNA0046'], 'CARMA': ['CARMA38497', 'CARMA38496']}",2066,3458
1495,Rudolf fettweis,hydro,Run-Of-River,Store,DE,65.0,0.0,0.0,0.0,1918,1926.0,48.67128595,8.354376729,"{'JRC': ['H699'], 'OPSD': ['BNA0279', 'BNA0278'], 'CARMA': ['CARMA38207']}",2026,3464
1505,Rosenheim,hydro,Run-Of-River,Store,DE,35.1,0.0,0.0,0.0,1960,1960.0,47.83825,12.15333,"{'JRC': ['H1060'], 'OPSD': ['BNA0839'], 'CARMA': ['CARMA37978']}",2060,3304
