,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 2 ror,ror,0.1,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,1.402,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.63,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.4350000000000001,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.2,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.061,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.35,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.39,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.355,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.45,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.04854,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.055,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.6459999999999999,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 A ror,ror,59.99999999999999,DE0 A,1957,1957.0,2057
DE0 1 ror,ror,0.212,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.035,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.165,DE0 2,1957,1957.0,2057
DE0 8 ror,ror,0.17,DE0 8,1957,1957.0,2057
DE0 A ror,ror,1.04,DE0 A,1957,1957.0,2057
DE0 A ror,ror,5.8500000000000005,DE0 A,1957,1957.0,2057
DE0 E ror,ror,0.22,DE0 E,1957,1957.0,2057
DE0 7 ror,ror,0.16,DE0 7,1957,1957.0,2057
DE0 D ror,ror,0.53,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.482,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.516,DE0 D,1957,1957.0,2057
DE0 A ror,ror,0.09,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.105,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.286,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.4,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.032,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.085,DE0 1,1957,1957.0,2057
DE0 A ror,ror,0.33,DE0 A,1957,1957.0,2057
DE0 A ror,ror,0.24,DE0 A,1957,1957.0,2057
DE0 A ror,ror,0.06,DE0 A,1957,1957.0,2057
DE0 A ror,ror,0.075,DE0 A,1957,1957.0,2057
DE0 1 ror,ror,0.055,DE0 1,1957,1957.0,2057
DE0 G ror,ror,0.11,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.108,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.0575,DE0 2,1957,1957.0,2057
DE0 G ror,ror,1.6,DE0 G,1957,1957.0,2057
DE0 G ror,ror,0.3,DE0 G,1957,1957.0,2057
DE0 B ror,ror,0.05,DE0 B,1957,1957.0,2057
DE0 G ror,ror,0.055,DE0 G,1957,1957.0,2057
DE0 1 ror,ror,0.25,DE0 1,1957,1957.0,2057
DE0 7 ror,ror,0.036,DE0 7,1957,1957.0,2057
DE0 9 ror,ror,0.224,DE0 9,1957,1957.0,2057
DE0 9 ror,ror,0.24,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.39,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.1,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 7 ror,ror,0.35,DE0 7,1957,1957.0,2057
DE0 7 ror,ror,0.105,DE0 7,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.32,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.08,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.145,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.095,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.1,DE0 2,1957,1957.0,2057
DE0 A ror,ror,0.48,DE0 A,1957,1957.0,2057
DE0 D ror,ror,0.18,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.072,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.08,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.0485,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.26,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.18,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.07,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.755,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.37,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.8800000000000001,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.15,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 7 ror,ror,0.97,DE0 7,1957,1957.0,2057
DE0 8 ror,ror,0.145,DE0 8,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.617,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.155,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.1,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.25,DE0 D,1957,1957.0,2057
DE0 E ror,ror,0.34,DE0 E,1957,1957.0,2057
DE0 2 ror,ror,0.037,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.08,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 F ror,ror,0.11,DE0 F,1957,1957.0,2057
DE0 1 ror,ror,0.145,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.6,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.15,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.08,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.3,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.045,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.22,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.23,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.037,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.11,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.085,DE0 2,1957,1957.0,2057
DE0 D ror,ror,1.4,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.136,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.055,DE0 D,1957,1957.0,2057
DE0 G ror,ror,0.6625,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.35,DE0 2,1957,1957.0,2057
